match_id,surface,tourney_date,stat_name,side,value
134,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.1052631578947367
134,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.15
134,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.0
134,Hard,2024-01-15,breakPointsSaved,Winner,0.05
134,Hard,2024-01-15,breakPointsSaved,Loser,0.42105263157894735
135,Hard,2024-01-15,aces,Winner,0.5769230769230769
135,Hard,2024-01-15,aces,Loser,0.64
135,Hard,2024-01-15,doubleFaults,Winner,0.19230769230769232
135,Hard,2024-01-15,doubleFaults,Loser,0.12
135,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.6153846153846154
135,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.68
135,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.4615384615384615
135,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.4
135,Hard,2024-01-15,breakPointsSaved,Winner,0.38461538461538464
135,Hard,2024-01-15,breakPointsSaved,Loser,0.16
136,Hard,2024-01-15,aces,Winner,0.42857142857142855
136,Hard,2024-01-15,aces,Loser,0.45
136,Hard,2024-01-15,doubleFaults,Winner,0.047619047619047616
136,Hard,2024-01-15,doubleFaults,Loser,0.15
136,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.619047619047619
136,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.75
136,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.4285714285714286
136,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.3
136,Hard,2024-01-15,breakPointsSaved,Winner,0.3333333333333333
136,Hard,2024-01-15,breakPointsSaved,Loser,0.6
137,Hard,2024-01-15,aces,Winner,0.7647058823529411
137,Hard,2024-01-15,aces,Loser,0.8235294117647058
137,Hard,2024-01-15,doubleFaults,Winner,0.11764705882352941
137,Hard,2024-01-15,doubleFaults,Loser,0.4117647058823529
137,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.764705882352941
137,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.0588235294117645
137,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.5294117647058822
137,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.2941176470588236
137,Hard,2024-01-15,breakPointsSaved,Winner,0.058823529411764705
137,Hard,2024-01-15,breakPointsSaved,Loser,0.4117647058823529
138,Hard,2024-01-15,aces,Winner,0.7058823529411765
138,Hard,2024-01-15,aces,Loser,0.75
138,Hard,2024-01-15,doubleFaults,Winner,0.23529411764705882
138,Hard,2024-01-15,doubleFaults,Loser,0.4375
138,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.764705882352941
138,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.875
138,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.5294117647058822
138,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.1875
138,Hard,2024-01-15,breakPointsSaved,Winner,0.5294117647058824
138,Hard,2024-01-15,breakPointsSaved,Loser,0.4375
139,Hard,2024-01-15,aces,Winner,1.6
139,Hard,2024-01-15,aces,Loser,0.2
139,Hard,2024-01-15,doubleFaults,Winner,0.06666666666666667
139,Hard,2024-01-15,doubleFaults,Loser,0.0
139,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.2
139,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.6666666666666665
139,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.3333333333333333
139,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.4
139,Hard,2024-01-15,breakPointsSaved,Winner,0.06666666666666667
139,Hard,2024-01-15,breakPointsSaved,Loser,0.26666666666666666
140,Hard,2024-01-15,aces,Winner,0.4
140,Hard,2024-01-15,aces,Loser,0.2631578947368421
140,Hard,2024-01-15,doubleFaults,Winner,0.4
140,Hard,2024-01-15,doubleFaults,Loser,0.3157894736842105
140,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.2
140,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.6842105263157894
140,Hard,2024-01-15,secondServePointsAccuracy,Winner,0.8
140,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.8421052631578947
140,Hard,2024-01-15,breakPointsSaved,Winner,0.25
140,Hard,2024-01-15,breakPointsSaved,Loser,0.8421052631578947
141,Hard,2024-01-15,aces,Winner,1.0
141,Hard,2024-01-15,aces,Loser,0.6
141,Hard,2024-01-15,doubleFaults,Winner,0.11538461538461539
141,Hard,2024-01-15,doubleFaults,Loser,0.12
141,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.3461538461538463
141,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.12
141,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.1923076923076923
141,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.32
141,Hard,2024-01-15,breakPointsSaved,Winner,0.07692307692307693
141,Hard,2024-01-15,breakPointsSaved,Loser,0.2
